Fund,Rating,Category,Return 1-Year,Return 3-Year,Return 5-Year,Return 10-Year,Return 15-Year,Return 20-Year
Edelweiss Arbitrage Fund - Regular Plan,3,HY-AR     ,5.98,6.32,,,,
Edelweiss Banking and PSU Debt Fund - Direct Plan,4,DT-INC    ,5.54,7.14,,,,
Edelweiss Banking and PSU Debt Fund - Regular Plan,3,DT-INC    ,5.24,6.82,,,,
Edelweiss Bond Fund - Direct Plan,3,DT-INC    ,2.53,6.33,,,,
Edelweiss Bond Fund - Regular Plan,2,DT-INC    ,1.73,5.43,6.75,,,
Edelweiss Corporate Debt Opportunities Fund - Direct Plan,3,DT-CO     ,6.63,8.16,,,,
Edelweiss Corporate Debt Opportunities Fund - Regular Plan,2,DT-CO     ,6.1,7.61,,,,
Edelweiss Dynamic Equity Advantage Fund - Direct Plan,2,HY-EQ     ,17.94,11.12,,,,
Edelweiss Dynamic Equity Advantage Fund - Regular Plan,2,HY-EQ     ,16.93,10.26,11.72,,,
Edelweiss ELSS Fund - Direct Plan,3,EQ-TS     ,32.32,18.29,,,,
Edelweiss ELSS Fund - Regular Plan,3,EQ-TS     ,30.9,17.28,18.51,,,
Edelweiss Equity Opportunities Fund - Direct Plan,4,EQ-LC     ,33.43,18.39,,,,
Edelweiss Equity Opportunities Fund Regular Plan,4,EQ-LC     ,32.65,17.59,18.19,15.08,,
Edelweiss Equity Savings Advantage Fund - Direct Plan,3,HY-EQ     ,14.54,10.14,,,,
Edelweiss Equity Savings Advantage Fund - Regular Plan,3,HY-EQ     ,13.72,9.63,,,,
Edelweiss Government Securities Fund - Direct Plan,4,GL-MLT    ,4.7,7.49,,,,
Edelweiss Government Securities Fund - Regular Plan,3,GL-MLT    ,4.18,6.96,,,,
Edelweiss Large Cap Advantage Fund - Direct Plan,4,EQ-LC     ,26.6,15.6,,,,
Edelweiss Large Cap Advantage Fund - Regular Plan,3,EQ-LC     ,25.48,14.69,15.79,,,
Edelweiss Liquid Fund - Direct Plan,2,DT-LIQ    ,6.69,6.88,,,,
Edelweiss Liquid Fund - Regular Plan,2,DT-LIQ    ,6.57,6.78,7.39,7.9,,
Edelweiss Mid and Small Cap Fund - Direct Plan,4,EQ-MC     ,50.6,26.42,,,,
Edelweiss Mid and Small Cap Fund - Regular Plan,3,EQ-MC     ,49.67,25.71,29.55,,,
Edelweiss Prudent Advantage Fund - Direct Plan,2,EQ-LC     ,20.5,12.69,,,,
Edelweiss Prudent Advantage Fund - Regular Plan,2,EQ-LC     ,19.81,12.15,14.19,,,
Edelweiss Short Term Fund - Direct Plan,3,DT-ST     ,6.0,3.81,,,,
Edelweiss Short Term fund - Regular Plan,2,DT-ST     ,5.71,3.65,3.37,,,
Edelweiss Tax Advantage Fund - Direct Plan,3,EQ-TS     ,30.51,17,,,,
Edelweiss Tax Advantage Fund - Regular Plan,2,EQ-TS     ,29.86,16.16,17.45,,,
Edelweiss Ultra Short Term Fund - Direct Plan,3,DT-UST    ,7.62,5.97,,,,
Edelweiss Ultra Short Term Fund - Regular Plan,3,DT-UST    ,6.8,5.58,5.61,6.71,,
Escorts High Yield Equity Fund,4,EQ-MC     ,25.04,22.69,27.02,18.87,,
Escorts High Yield Equity Fund - Direct Plan,4,EQ-MC     ,24.87,22.56,,,,
Escorts Income Fund,3,DT-INC    ,1.82,5.72,7.2,8.44,8.23,
Escorts Income Fund - Direct Plan,3,DT-INC    ,1.83,5.73,,,,
Escorts Liquid - Direct Plan,5,DT-LIQ    ,6.56,7.34,,,,
Escorts Liquid Plan,5,DT-LIQ    ,6.55,7.33,7.99,8.59,,
Escorts Opportunities Fund,3,HY-EQ     ,27.54,13.32,13.62,10.83,9.65,
Escorts Opportunities Fund - Direct Plan,3,HY-EQ     ,27.56,13.29,,,,
Escorts Short Term Debt Fund,4,DT-ST     ,6.66,7.46,8.32,8.96,,
Escorts Short Term Debt Fund - Direct Plan,4,DT-ST     ,6.71,7.48,,,,
Escorts Tax Plan,4,EQ-TS     ,27.15,23.13,25.22,14.16,12.8,
Escorts Tax Plan - Direct Plan,4,EQ-TS     ,27.15,23.18,,,,
Essel Equity Fund,3,EQ-MLC    ,22.68,17.28,16.6,,,
Essel Equity Fund - Direct Plan,3,EQ-MLC    ,24.19,18.81,,,,
Essel Flexible Income Fund,2,DT-DB     ,0.97,5.85,6.24,,,
Essel Flexible Income Fund - Direct Plan,2,DT-DB     ,1.9,6.98,,,,
Essel Income Plus Fund,2,HY-DC     ,5.47,7.31,8.23,,,
Essel Income Plus Fund - Direct Plan,4,HY-DC     ,7.19,9.15,,,,
Essel Liquid Fund - Direct Plan,5,DT-LIQ    ,6.82,7.37,,,,
Essel Liquid Fund - Regular Plan,5,DT-LIQ    ,6.7,7.25,7.81,,,
Essel Short Term Fund,1,DT-ST     ,4.1,6.13,7.03,,,
Essel Short Term Fund - Direct Plan,3,DT-ST     ,5.16,7.14,,,,
Essel Ultra Short Term Fund - Direct Plan,3,DT-UST    ,6.51,7.51,,,,
Essel Ultra Short Term Fund - Regular Plan,2,DT-UST    ,5.82,6.79,7.41,,,
Franklin Build India Fund,5,EQ-INFRA  ,37.58,23.3,28.08,,,
Franklin Build India Fund - Direct Plan,5,EQ-INFRA  ,39.26,24.89,,,,
Franklin India Balanced Fund,3,HY-EQ     ,18.18,12.87,16.29,14.63,15.28,
Franklin India Balanced Fund - Direct Plan,4,HY-EQ     ,19.87,14.52,,,,
Franklin India Banking & PSU Debt Fund,3,DT-INC    ,6.01,7.51,,,,
Franklin India Banking & PSU Debt Fund - Direct Plan,3,DT-INC    ,6.43,7.98,,,,
Franklin India Bluechip Fund,3,EQ-LC     ,20.15,14.1,15.44,14.23,16.88,20.3
Franklin India Bluechip Fund - Direct Plan,4,EQ-LC     ,21.23,15.09,,,,
Franklin India Cash Management Account Fund,1,DT-LIQ    ,5.87,6.02,6.22,6.24,6.04,
Franklin India Cash Management Account Fund - Direct Plan,2,DT-LIQ    ,6.49,6.74,,,,
Franklin India Corporate Bond Opportunities Fund,3,DT-CO     ,7.3,8.59,9.14,,,
Franklin India Corporate Bond Opportunities Fund - Direct Plan,4,DT-CO     ,8.13,9.48,,,,
Franklin India Dynamic Accrual Fund,4,DT-CO     ,7.33,9.2,9.6,8.77,7.93,8.07
Franklin India Dynamic Accrual Fund - Direct Plan,5,DT-CO     ,8.32,10.2,,,,
Franklin India Dynamic PE Ratio Fund of Funds,3,HY-AA     ,12.13,10.68,11.76,11.34,,
Franklin India Dynamic PE Ratio Fund of Funds - Direct Plan,4,HY-AA     ,13.35,11.86,,,,
Franklin India Flexi Cap Fund,4,EQ-LC     ,26.31,15.41,18.73,16.79,,
Franklin India Flexi Cap Fund - Direct Plan,5,EQ-LC     ,27.32,16.3,,,,
Franklin India Government Securities Fund - Composite Plan,1,GL-MLT    ,-1.83,5.37,7.68,7.53,7.43,
Franklin India Government Securities Fund - Composite Plan - Direct Plan,3,GL-MLT    ,-0.71,6.57,,,,
Franklin India Government Securities Fund - Long Term Plan,2,GL-MLT    ,-2.01,5.5,7.81,7.67,7.78,
Franklin India Government Securities Fund - Long Term Plan - Direct Plan,3,GL-MLT    ,-1.01,6.59,,,,
Franklin India Government Securities Fund - PF Plan,1,GL-MLT    ,-1.83,5.37,7.68,7.53,,
Franklin India Government Securities Fund - PF Plan - Direct Plan,3,GL-MLT    ,-0.76,,,,,
Franklin India High Growth Companies Fund,4,EQ-MLC    ,33.23,19.76,23.97,20.56,,
Franklin India High Growth Companies Fund - Direct Plan,5,EQ-MLC    ,34.71,21.16,,,,
Franklin India Income Builder Fund,4,DT-INC    ,6.55,8.21,8.87,9.06,8.15,8.28
Franklin India Income Builder Fund - Direct Plan,5,DT-INC    ,7.24,8.92,,,,
Franklin India Income Opportunities Fund,4,DT-CO     ,7.65,8.71,9.16,,,
Franklin India Income Opportunities Fund - Direct Plan,4,DT-CO     ,8.42,9.52,,,,
Franklin India Index Fund - NSE Nifty Plan,2,EQ-LC     ,21.43,13.56,13.04,11.43,13.19,
Franklin India Index Fund - NSE Nifty Plan - Direct Plan,2,EQ-LC     ,21.96,14.03,,,,
Franklin India Life Stage Fund of Funds 20s,3,EQ-MLC    ,19.86,14.64,15.99,14.44,,
Franklin India Life Stage Fund of Funds 20s - Direct Plan,3,EQ-MLC    ,20.41,15.07,,,,
Franklin India Life Stage Fund of Funds 30s,2,HY-DA     ,15.35,12.5,13.55,12.57,,
Franklin India Life Stage Fund of Funds 30s - Direct Plan,3,HY-DA     ,16.12,13.21,,,,
Franklin India Life Stage Fund of Funds 40s,3,HY-DA     ,12.03,10.9,11.9,11.42,,
Franklin India Life Stage Fund of Funds 40s - Direct Plan,4,HY-DA     ,13.05,11.88,,,,
Franklin India Life Stage Fund of Funds 50s Plus,3,HY-DC     ,9.63,9.75,10.17,9.64,,
Franklin India Life Stage Fund of Funds 50s Plus - Direct Plan,3,HY-DC     ,10.52,10.61,,,,
Franklin India Life Stage Fund of Funds 50s Plus - Floating Rate,3,HY-DC     ,9.37,8.91,9.53,9.31,,
Franklin India Life Stage Fund of Funds 50s Plus - Floating Rate - Direct Plan,3,HY-DC     ,9.83,9.35,,,,
Franklin India Low Duration Fund,5,DT-ST     ,7.53,8.93,9.31,,,
Franklin India Low Duration Fund - Direct Plan,5,DT-ST     ,7.92,9.3,,,,
Franklin India Monthly Income Plan,2,HY-DC     ,7.7,8.18,9.98,9.81,9.45,
Franklin India Monthly Income Plan - Direct Plan,3,HY-DC     ,8.51,9.06,,,,
Franklin India Opportunities Fund,3,EQ-MLC    ,29.36,17.24,19.97,15.54,16.41,
Franklin India Opportunities Fund - Direct Plan,3,EQ-MLC    ,30.47,18.18,,,,
Franklin India Pension Fund,3,HY-DA     ,11.04,9.66,12.26,11.54,11.34,12.17
Franklin India Pension Fund - Direct Plan,4,HY-DA     ,11.88,10.49,,,,
Franklin India Prima Fund,4,EQ-MC     ,30.64,21.5,26.36,22.68,21.43,24.92
Franklin India Prima Fund - Direct Plan,4,EQ-MC     ,32.0,22.75,,,,
Franklin India Prima Plus Fund,4,EQ-MLC    ,23.83,15.76,19.4,17.28,19.37,22.07
Franklin India Prima Plus Fund - Direct Plan,4,EQ-MLC    ,25.17,17.03,,,,
Franklin India Savings Plus Fund - Direct Plan,4,DT-UST    ,6.95,7.86,,,,
Franklin India Savings Plus Fund - Retail Plan,3,DT-UST    ,6.76,7.55,7.98,8.2,7.91,
Franklin India Short Term Income Plan - Direct Plan,5,DT-ST     ,8.27,9.41,,,,
Franklin India Short Term Income Plan - Retail Plan,4,DT-ST     ,7.52,8.63,9.1,9.22,8.94,
Franklin India Smaller Companies Fund,4,EQ-SC     ,38.53,25.46,30.99,25.65,,
Franklin India Smaller Companies Fund - Direct Plan,4,EQ-SC     ,40.3,27.03,,,,
Franklin India Taxshield Fund,3,EQ-TS     ,23.6,15.19,18.89,17.44,18.8,
Franklin India Taxshield Fund - Direct Plan,4,EQ-TS     ,24.92,16.34,,,,
Franklin India Treasury Management Account Fund - Direct Plan,4,DT-LIQ    ,6.71,7.26,,,,
Franklin India Treasury Management Account Fund - Super Institutional Plan,3,DT-LIQ    ,6.65,7.19,7.78,8.14,,
Franklin India Ultra Short Bond Fund - Super Institutional Plan,5,DT-UST    ,7.73,8.86,9.26,9.2,,
Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct Plan,5,DT-UST    ,7.81,8.94,,,,
HDFC Arbitrage Fund - Wholesale - Direct Plan,3,HY-AR     ,5.99,6.58,,,,
HDFC Arbitrage Fund - Wholesale Plan,2,HY-AR     ,5.42,6.05,6.64,7.2,,
HDFC Balanced Fund,4,HY-EQ     ,22.76,17.29,19.59,18.06,17.62,
HDFC Balanced Fund - Direct Plan,5,HY-EQ     ,24.15,18.55,,,,
HDFC Banking and PSU Debt Fund - Direct Plan,3,DT-ST     ,6.28,8.6,,,,
HDFC Banking and PSU Debt Fund - Regular Plan,2,DT-ST     ,5.8,8.22,,,,
HDFC Capital Builder Fund,3,EQ-MLC    ,38.23,22.58,22.5,18.7,19.98,
HDFC Capital Builder Fund - Direct Plan,4,EQ-MLC    ,39.66,23.83,,,,
HDFC Cash Management Fund - Call Plan,1,DT-LIQ    ,5.87,6.19,6.71,6.95,6.7,
HDFC Cash Management Fund - Call Plan - Direct Plan,1,DT-LIQ    ,5.92,6.25,,,,
HDFC Cash Management Fund - Savings Plan,2,DT-LIQ    ,6.35,6.94,7.56,7.96,7.73,
HDFC Cash Management Fund - Savings Plan - Direct Plan,3,DT-LIQ    ,6.56,7.15,,,,
HDFC Cash Management Fund - Treasury Advantage Plan - Direct Plan,3,DT-UST    ,6.66,8.01,,,,
HDFC Cash Management Fund - Treasury Advantage Plan - Retail Plan,2,DT-UST    ,5.96,7.25,7.62,7.76,7.53,
HDFC Children's Gift Fund,4,HY-EQ     ,26.02,17.72,18.79,18.29,17.16,
HDFC Children's Gift Fund - Direct Plan,4,HY-EQ     ,27.23,18.76,,,,
HDFC Core & Satellite Fund,1,EQ-MLC    ,38.25,22.19,21.35,16.14,,
HDFC Core & Satellite Fund - Direct Plan,1,EQ-MLC    ,39.78,23.52,,,,
HDFC Corporate Debt Opportunities Fund - Direct Plan,3,DT-CO     ,6.36,9.3,,,,
HDFC Corporate Debt Opportunities Fund - Regular Plan,2,DT-CO     ,5.38,8.26,,,,
HDFC Dynamic PE Ratio Fund of Funds - Direct Plan,3,HY-AA     ,19.28,16.04,,,,
HDFC Dynamic PE Ratio Fund of Funds - Regular Plan,1,HY-AA     ,18.15,14.97,12.91,,,
HDFC Equity Fund,2,EQ-LC     ,31.56,20.01,19.65,17.04,19.73,23.33
HDFC Equity Fund - Direct Plan,3,EQ-LC     ,32.72,21,,,,
HDFC Floating Rate Income Fund - Long Term Plan,2,DT-ST     ,5.12,7.38,7.98,8.48,,
HDFC Floating Rate Income Fund - Long Term Plan - Direct Plan,2,DT-ST     ,5.17,7.43,,,,
HDFC Floating Rate Income Fund - Short Term Plan - Wholesale Plan,3,DT-UST    ,6.45,7.75,8.29,8.45,,
HDFC Floating Rate Income Fund - Short Term Plan - Wholesale Plan - Direct Plan,3,DT-UST    ,6.6,7.88,,,,
HDFC Gilt Fund - Long Term Plan,2,GL-MLT    ,1.3,6.96,8.78,8.32,7.39,
HDFC Gilt Fund - Long Term Plan - Direct Plan,3,GL-MLT    ,1.71,7.44,,,,
HDFC Gilt Fund - Short Term Plan,1,GL-ST     ,3.73,7.39,8.1,7.72,6.96,
HDFC Gilt Fund - Short Term Plan - Direct Plan,2,GL-ST     ,3.95,7.67,,,,
HDFC Growth Fund,3,EQ-LC     ,30.39,19.84,18.48,14.96,17.83,
HDFC Growth Fund - Direct Plan,3,EQ-LC     ,31.24,20.57,,,,
HDFC High Interest Fund - Dynamic Plan,2,DT-DB     ,2.18,6.88,8.39,8.53,7.89,8.07
HDFC High Interest Fund - Dynamic Plan - Direct Plan,3,DT-DB     ,2.84,7.65,,,,
HDFC High Interest Fund - Short Term Plan,2,DT-ST     ,5.1,7.74,8.4,8.53,8.44,
HDFC High Interest Fund - Short Term Plan - Direct Plan,3,DT-ST     ,5.9,8.38,,,,
HDFC Income Fund,1,DT-INC    ,0.77,5.99,7.57,7.83,7.42,
HDFC Income Fund - Direct Plan,2,DT-INC    ,1.35,6.83,,,,
HDFC Index Fund - Nifty Plan,2,EQ-LC     ,22.62,14.38,13.82,11.73,12.44,
HDFC Index Fund - Nifty Plan - Direct Plan,3,EQ-LC     ,22.8,14.55,,,,
HDFC Index Fund - Sensex Plan,2,EQ-LC     ,23.21,14.06,13.27,11.54,12.5,
HDFC Index Fund - Sensex Plan - Direct Plan,2,EQ-LC     ,23.4,14.23,,,,
HDFC Index Fund - Sensex Plus Plan,2,EQ-LC     ,24.74,15.25,14.42,13.08,15.32,
HDFC Index Fund - Sensex Plus Plan - Direct Plan,3,EQ-LC     ,25.06,15.54,,,,
HDFC Infrastructure Fund,1,EQ-INFRA  ,41.54,21.24,21.33,,,
HDFC Infrastructure Fund - Direct Plan,2,EQ-INFRA  ,42.65,22.19,,,,
HDFC Large Cap Fund - Direct Plan,1,EQ-LC     ,24.99,15.18,,,,
HDFC Large Cap Fund - Regular Plan,1,EQ-LC     ,24.87,15.05,13.22,11.36,12.58,
HDFC Liquid Fund,2,DT-LIQ    ,6.43,7.03,7.64,7.97,7.69,
HDFC Liquid Fund - Direct Plan,3,DT-LIQ    ,6.54,7.13,,,,
HDFC Long Term Advantage Fund,3,EQ-TS     ,33.32,22.22,20.85,17.52,18.64,
HDFC Long Term Advantage Fund - Direct Plan,3,EQ-TS     ,34.23,23,,,,
HDFC Medium Term Opportunities Fund,4,DT-INC    ,5.64,8.06,8.7,,,
HDFC Medium Term Opportunities Fund - Direct Plan,4,DT-INC    ,5.75,8.17,,,,
HDFC MF Monthly Income Plan - Long Term Plan,2,HY-DA     ,9.19,10.66,11.58,11.07,,
HDFC MF Monthly Income Plan - Long Term Plan - Direct Plan,3,HY-DA     ,9.88,11.31,,,,
HDFC MF Monthly Income Plan - Short Term Plan,2,HY-DC     ,10.95,10.06,10.09,9.29,,
HDFC MF Monthly Income Plan - Short Term Plan - Direct Plan,2,HY-DC     ,12.19,11.29,,,,
HDFC Mid-Cap Opportunities Fund,4,EQ-MC     ,34.73,24.56,28.13,24.32,,
HDFC Mid-Cap Opportunities Fund - Direct Plan,4,EQ-MC     ,36.09,25.73,,,,
HDFC Multiple Yield Fund - Plan 2005,3,HY-DC     ,11.78,10.08,10.59,10.41,,
HDFC Multiple Yield Fund - Plan 2005 - Direct Plan,3,HY-DC     ,12.41,10.7,,,,
HDFC Premier Multi-Cap Fund,1,EQ-MLC    ,31.22,18.4,18.39,14.41,,
HDFC Premier Multi-Cap Fund - Direct Plan,1,EQ-MLC    ,32.03,19.1,,,,
HDFC Prudence Fund,2,HY-EQ     ,23.36,17.84,18.87,17.09,18.73,
HDFC Prudence Fund - Direct Plan,3,HY-EQ     ,24.84,19.05,,,,
HDFC Regular Savings Fund,4,DT-ST     ,5.44,7.96,8.73,8.76,8.55,
HDFC Regular Savings Fund - Direct Plan,5,DT-ST     ,6.17,8.62,,,,
HDFC Short Term Opportunities Fund,4,DT-ST     ,5.83,7.63,8.33,,,
HDFC Short Term Opportunities Fund - Direct Plan,4,DT-ST     ,5.99,7.79,,,,
HDFC Small Cap Fund - Direct Plan,3,EQ-SC     ,62.45,33.87,,,,
HDFC Small Cap Fund - Regular Plan,2,EQ-SC     ,60.53,32.33,28.56,,,
HDFC Taxsaver Fund,1,EQ-TS     ,33.0,21.03,20.44,17.01,19.55,25.04
HDFC Taxsaver Fund - Direct Plan,2,EQ-TS     ,33.91,21.8,,,,
HDFC Top 200 Fund,3,EQ-LC     ,23.89,17.61,17.3,15.28,18.82,21.12
HDFC Top 200 Fund - Direct Plan,3,EQ-LC     ,24.81,18.43,,,,
HSBC Cash Fund,3,DT-LIQ    ,6.62,7.11,7.68,,,
HSBC Cash Fund - Direct Plan,3,DT-LIQ    ,6.69,7.17,,,,
HSBC Dynamic Fund,3,EQ-LC     ,19.46,13.37,12.87,9.79,,
HSBC Dynamic Fund - Direct Plan,3,EQ-LC     ,20.3,14.15,,,,
HSBC Equity Fund,3,EQ-LC     ,21.52,16.18,15.52,12.11,,
HSBC Equity Fund - Direct Plan,3,EQ-LC     ,22.4,17,,,,
HSBC Flexi Debt Fund,1,DT-INC    ,0.64,5.47,6.97,7.8,,
HSBC Flexi Debt Fund - Direct Plan,2,DT-INC    ,1.4,6.26,,,,
HSBC Income Fund - Investment Plan,1,DT-INC    ,-0.02,4.9,6.46,7.23,,
HSBC Income Fund - Investment Plan - Direct Plan,2,DT-INC    ,0.73,5.7,,,,
HSBC Income Fund - Short Term Plan,1,DT-ST     ,4.66,6.77,7.51,7.73,,
HSBC Income Fund - Short Term Plan - Direct Plan,3,DT-ST     ,5.62,7.77,,,,
HSBC India Opportunities Fund,3,EQ-MLC    ,30.01,18.97,20.47,16.16,,
HSBC India Opportunities Fund - Direct Plan,3,EQ-MLC    ,31.0,19.82,,,,
HSBC Midcap Equity Fund,1,EQ-SC     ,52.87,28.57,31.75,20.24,,
HSBC Midcap Equity Fund - Direct Plan,2,EQ-SC     ,54.02,29.48,,,,
HSBC Monthly Income Plan,2,HY-DC     ,7.4,8.43,9.6,9.57,,
HSBC Monthly Income Plan - Direct Plan,2,HY-DC     ,7.98,9,,,,
HSBC Tax Saver Equity Fund,3,EQ-TS     ,32.52,21.47,21.32,17.52,,
HSBC Tax Saver Equity Fund - Direct Plan,3,EQ-TS     ,33.46,22.3,,,,
HSBC Ultra Short Term Bond Fund,2,DT-UST    ,5.86,6.91,7.55,7.63,,
HSBC Ultra Short Term Bond Fund - Direct Plan,4,DT-UST    ,6.72,7.77,,,,
ICICI Prudential Advisor Series - Cautious Plan,1,HY-DC     ,5.6,6.52,8.1,8.37,,
ICICI Prudential Advisor Series - Cautious Plan - Direct Plan,1,HY-DC     ,6.07,7,,,,
ICICI Prudential Advisor Series - Dynamic Accrual Plan,5,DT-INC    ,5.95,8.61,9.41,8.52,,
ICICI Prudential Advisor Series - Dynamic Accrual Plan - Direct Plan,5,DT-INC    ,6.39,9.05,,,,
ICICI Prudential Advisor Series - Long Term Savings Plan,2,HY-EQ     ,13.82,13.22,13.53,12.27,,
ICICI Prudential Advisor Series - Long Term Savings Plan - Direct Plan,2,HY-EQ     ,14.27,13.63,,,,
ICICI Prudential Advisor Series - Moderate Plan,1,HY-DA     ,10.49,12.04,12.61,11.5,,
ICICI Prudential Advisor Series - Moderate Plan - Direct Plan,2,HY-DA     ,10.78,12.27,,,,
ICICI Prudential Balanced Advantage Fund,3,HY-EQ     ,17.0,13.02,14.4,14.38,,
ICICI Prudential Balanced Advantage Fund - Direct Plan,4,HY-EQ     ,18.51,14.54,,,,
ICICI Prudential Balanced Fund,4,HY-EQ     ,22.62,17.92,19.13,17.2,16.52,
ICICI Prudential Balanced Fund - Direct Plan,5,HY-EQ     ,24.39,19.51,,,,
ICICI Prudential Banking & PSU Debt Fund,4,DT-INC    ,4.84,8.33,8.93,,,
ICICI Prudential Banking & PSU Debt Fund - Direct Plan,4,DT-INC    ,5.11,8.62,,,,
ICICI Prudential Banking and Financial Services Fund,5,EQ-BANK   ,26.36,26.72,26.83,,,
ICICI Prudential Banking and Financial Services Fund - Direct Plan,5,EQ-BANK   ,28.1,28.29,,,,
ICICI Prudential Child Care Plan - Gift Plan,2,HY-EQ     ,21.08,14.65,17.28,15.49,15.19,
ICICI Prudential Child Care Plan - Gift Plan - Direct Plan,2,HY-EQ     ,22.07,15.58,,,,
ICICI Prudential Child Care Plan - Study Plan,5,HY-DC     ,8.93,10.77,13.95,13.67,12.86,
ICICI Prudential Child Care Plan - Study Plan - Direct Plan,5,HY-DC     ,9.6,11.31,,,,
ICICI Prudential Constant Maturity Gilt Fund,3,GL-MLT    ,2.26,7.61,,,,
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan,3,GL-MLT    ,2.49,7.88,,,,
ICICI Prudential Corporate Bond Fund,1,DT-CO     ,5.48,7.86,8.63,8.44,,
ICICI Prudential Corporate Bond Fund - Direct Plan,3,DT-CO     ,6.39,8.85,,,,
ICICI Prudential Dividend Yield Equity Fund,2,EQ-MC     ,32.95,23,,,,
ICICI Prudential Dividend Yield Equity Fund - Direct Plan,2,EQ-MC     ,33.91,23.78,,,,
ICICI Prudential Dynamic Bond Fund,3,DT-DB     ,3.3,7.84,8.89,,,
ICICI Prudential Dynamic Bond Fund - Direct Plan,4,DT-DB     ,4.22,8.66,,,,
ICICI Prudential Dynamic Plan,3,EQ-MLC    ,24.83,18.61,18.34,16.43,19.31,
ICICI Prudential Dynamic Plan - Direct Plan,3,EQ-MLC    ,26.11,19.64,,,,
ICICI Prudential Equity Arbitrage Fund,3,HY-AR     ,5.68,6.15,6.85,7.52,,
ICICI Prudential Equity Arbitrage Fund - Direct Plan,5,HY-AR     ,6.34,6.81,,,,
ICICI Prudential Flexible Income Plan,3,DT-UST    ,6.55,7.9,8.42,8.57,8.18,
ICICI Prudential Flexible Income Plan - Direct Plan,3,DT-UST    ,6.69,8.04,,,,
ICICI Prudential Focused Bluechip Equity Fund,4,EQ-LC     ,28.91,18.5,18.29,,,
ICICI Prudential Focused Bluechip Equity Fund - Direct Plan,4,EQ-LC     ,30.1,19.59,,,,
ICICI Prudential Gilt Fund - Investment Plan - PF Option,3,GL-MLT    ,2.32,8.33,9.78,9.31,,
ICICI Prudential Gilt Fund - Investment Plan - PF Option - Direct Plan,4,GL-MLT    ,2.59,8.62,,,,
ICICI Prudential Gilt Fund - Treasury Plan - PF Option,4,GL-ST     ,5.25,9.48,7.93,7.07,,
ICICI Prudential Gilt Fund - Treasury Plan - PF Option - Direct Plan,4,GL-ST     ,5.65,9.97,,,,
ICICI Prudential Income Opportunities Fund,3,DT-INC    ,4.32,7.53,8.68,,,
ICICI Prudential Income Opportunities Fund - Direct Plan,3,DT-INC    ,4.94,8.08,,,,
ICICI Prudential Income Plan,3,DT-INC    ,2.85,7.89,8.87,8.48,8.29,
ICICI Prudential Income Plan - Direct Plan,3,DT-INC    ,3.67,8.86,,,,
ICICI Prudential Indo Asia Equity Fund,3,EQ-MC     ,41.01,23.07,22.09,18.07,,
ICICI Prudential Indo Asia Equity Fund - Direct Plan,3,EQ-MC     ,41.68,23.62,,,,
ICICI Prudential Infrastructure Fund,2,EQ-INFRA  ,36.13,20.22,19.48,12.72,,
ICICI Prudential Infrastructure Fund - Direct Plan,2,EQ-INFRA  ,37.35,21.08,,,,
ICICI Prudential Liquid Plan,3,DT-LIQ    ,6.55,7.12,7.7,8.07,,
ICICI Prudential Liquid Plan - Direct Plan,3,DT-LIQ    ,6.61,7.17,,,,
ICICI Prudential Long Term Equity Fund (Tax Saving),2,EQ-TS     ,23.14,14.85,17.91,17.28,19.26,
ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan,3,EQ-TS     ,24.74,16.27,,,,
ICICI Prudential Long Term Fund,4,DT-DB     ,3.97,8.93,10.59,,,
ICICI Prudential Long Term Fund - Direct Plan,5,DT-DB     ,4.69,9.69,,,,
ICICI Prudential Long Term Gilt Fund,3,GL-MLT    ,1.13,7.73,9.05,8.7,8.67,
ICICI Prudential Long Term Gilt Fund - Direct Plan,3,GL-MLT    ,1.78,8.41,,,,
ICICI Prudential Midcap Fund,3,EQ-MC     ,39.28,23.32,27.76,20.88,,
ICICI Prudential Midcap Fund - Direct Plan,3,EQ-MC     ,40.87,24.52,,,,
ICICI Prudential MIP 25,4,HY-DC     ,10.63,11.15,12.13,11.19,,
ICICI Prudential MIP 25 - Direct Plan,4,HY-DC     ,11.65,12.08,,,,
ICICI Prudential Money Market Fund,3,DT-LIQ    ,6.57,7.13,7.69,7.87,,
ICICI Prudential Money Market Fund - Direct Plan,4,DT-LIQ    ,6.68,7.22,,,,
ICICI Prudential Monthly Income Plan,2,HY-DC     ,6.33,8.46,9.71,9.46,9.17,
ICICI Prudential Monthly Income Plan - Direct Plan,3,HY-DC     ,6.96,9.06,,,,
ICICI Prudential Multicap Fund,2,EQ-MLC    ,22.75,16.94,19.28,16.37,17.63,
ICICI Prudential Multicap Fund - Direct Plan,2,EQ-MLC    ,24.27,18.22,,,,
ICICI Prudential Nifty 100 iWIN ETF Fund,3,EQ-LC     ,24.25,15.86,,,,
ICICI Prudential Nifty Index Fund,2,EQ-LC     ,21.73,13.85,13.45,11.9,13.93,
ICICI Prudential Nifty Index Fund - Direct Plan,2,EQ-LC     ,22.24,14.27,,,,
ICICI Prudential Nifty iWIN ETF Fund,3,EQ-LC     ,23.0,14.85,,,,
ICICI Prudential Nifty Next 50 Index Fund,4,EQ-MLC    ,35.3,24.35,23.59,,,
